問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解,解説
"""灯内内管の圧力保持による方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス漏れが認められた場合は次の措置を行う。お客さまへ（　　　）の点滅（入・切）禁止の注意喚起を行う。""",電気スイッチ,試験口,供給圧力,可能な範囲,所定時間,圧力降下,現場の状況,立会い,火気使用,電気スイッチ,テスト
"""""灯内内管の圧力保持による方法について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

圧力保持による漏えい検査は、次の手順により行う。
１）全てのガス栓を閉める。
※器具栓・接続具までの漏えい検査の場合は、器具栓は「閉」、ガス栓は「開」とする。
２）１つのガス栓に水柱ゲージ（測定器）を取付け、当該ガス栓を開ける。
３）圧力が安定した後、メーターガス栓を閉め、（　　　）経過後、圧力降下の有無を調べる。
４）圧力降下がなければガス栓を閉め水柱ゲージ等を取り外し、メーターガス栓を開ける。""",電気スイッチ,試験口,供給圧力,可能な範囲,所定時間,圧力降下,現場の状況,立会い,火気使用,所定時間,テスト
"""測定器と管容積に対する検査時間ついて、次の表の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

（　　　）：１㎥未満は１分間、１㎥以上１０㎥未満は５分間、１０㎥以上３００㎥未満は0.5V分間（MAX ６０分間）""",1,2,3,5,10,開放型,チャンバ型,水柱ゲージ,半導体式ガス検知器,水柱ゲージ,テスト
"""測定器と管容積に対する検査時間ついて、次の表の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

（　　　）：１㎥未満は2分間、１㎥以上１０㎥未満は５分間、１０㎥以上３００㎥未満は0.5V分間（MAX ６０分間）""",1,2,3,5,10,開放型,チャンバ型,水柱ゲージ,半導体式ガス検知器,チャンバ型,テスト
"""測定器と管容積に対する検査時間ついて、次の表の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

水中ゲージ：１㎥未満は（　　　）分間、１㎥以上１０㎥未満は５分間、１０㎥以上３００㎥未満は0.5V分間（MAX ６０分間）""",1,2,3,5,10,開放型,チャンバ型,水柱ゲージ,半導体式ガス検知器,1,テスト
"""測定器と管容積に対する検査時間ついて、次の表の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

水中ゲージ：１㎥未満は１分間、１㎥以上１０㎥未満は（　　　）分間、１０㎥以上３００㎥未満は0.5V分間（MAX ６０分間）""",1,2,3,5,10,開放型,チャンバ型,水柱ゲージ,半導体式ガス検知器,5,テスト
"""測定器と管容積に対する検査時間ついて、次の表の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

チャンバ型圧力計：１㎥未満は（　　　）分間、１㎥以上１０㎥未満は５分間、１０㎥以上３００㎥未満は0.5V分間（MAX ６０分間）""",1,2,3,5,10,開放型,チャンバ型,水柱ゲージ,半導体式ガス検知器,2,テスト
"""測定器と管容積に対する検査時間ついて、次の表の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

チャンバ型圧力計：１㎥未満は２分間、１㎥以上１０㎥未満は（　　　）分間、１０㎥以上３００㎥未満は0.5V分間（MAX ６０分間）""",1,2,3,5,10,開放型,チャンバ型,水柱ゲージ,半導体式ガス検知器,5,テスト
"""ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスの使用形態により圧力保持による漏えい検査ができない場合とは、以下に示す建物区分ごとのガス使用用途であって、（　　　）によりガスの供給停止できない配管系統に限る。""",製造又は加工,特定公共,物品販売業,ガスの連続使用,特定大規模,宿泊施設,供給を停止,病院,安全を確保,ガスの連続使用,テスト
"""ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスの使用形態により圧力保持による漏えい検査ができない場合とは、以下に示す建物区分ごとのガス使用用途であって、ガスの連続使用によりガスの（　　　）できない配管系統に限る。""",製造又は加工,特定公共,物品販売業,ガスの連続使用,特定大規模,宿泊施設,供給を停止,病院,安全を確保,供給を停止,テスト
"""ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスの使用形態により圧力保持による漏えい検査ができない場合とは、以下に示す建物区分である。
建物区分：（　　　）建物・特定中規模建物、特定公共建物、工業用建物、一般業務用建物",製造又は加工,特定公共,物品販売業,ガスの連続使用,特定大規模,宿泊施設,供給を停止,病院,安全を確保,特定大規模,テスト
"""ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスの使用形態により圧力保持による漏えい検査ができない場合とは、以下に示す建物区分である。
建物区分：特定大規模建物・特定中規模建物、（　　　）建物、工業用建物、一般業務用建物",製造又は加工,特定公共,物品販売業,ガスの連続使用,特定大規模,宿泊施設,供給を停止,病院,安全を確保,特定公共,テスト
"""ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスの使用形態により圧力保持による漏えい検査ができない場合とは、以下に示す建物区分である。
使用用途：旅館、ホテル、宿泊所、百貨店、マーケットその他の（　　　）を営む店舗又は展示場。""",製造又は加工,特定公共,物品販売業,ガスの連続使用,特定大規模,宿泊施設,供給を停止,病院,安全を確保,物品販売業,テスト
"""ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスの使用形態により圧力保持による漏えい検査ができない場合とは、以下に示す建物区分である。
使用用途：病床を有する（　　　）、診療所又は助産所。冷房等用途""",製造又は加工,特定公共,物品販売業,ガスの連続使用,特定大規模,宿泊施設,供給を停止,病院,安全を確保,病院,テスト
"""ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスの使用形態により圧力保持による漏えい検査ができない場合とは、以下に示す建物区分である。
使用用途：製品を（　　　）するための用途。冷房等用途""",製造又は加工,特定公共,物品販売業,ガスの連続使用,特定大規模,宿泊施設,供給を停止,病院,安全を確保,製造又は加工,テスト
"""ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択し、番号で答えなさい。

ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合は、次の方法により検査を行うこともできる。
【露出部分の漏えい検査】
有効な（　　　）装置が設置されており、メーターガス栓から（　回答に同じ　）装置までが露出している場合は以下のとおり。
a.　ガス検知器を使用して検査し、かつ臭気によりガス漏えいの有無を確認する。
b. 　発泡液を使用して検査し、かつ臭気によりガス漏えいの有無を確認する。""",供給を停止,露出部分,排気ガス,臭気,埋設部分,業務用途,漏えい検知,特定大規模,発泡液,漏えい検知,テスト
"""ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択し、番号で答えなさい。

ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合は、次の方法により検査を行うこともできる。
【露出部分の漏えい検査】
有効な漏洩検知装置が設置されており、メーターガス栓から漏洩検知装置までが露出している場合は以下のとおり。
a.　ガス検知器を使用して検査し、かつ（　　　）によりガス漏えいの有無を確認する。
b.　 発泡液を使用して検査し、かつ臭気によりガス漏えいの有無を確認する。""",供給を停止,露出部分,排気ガス,臭気,埋設部分,業務用途,漏えい検知,特定大規模,発泡液,臭気,テスト
"""ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスの使用形態により圧力保持による灯内内管の漏えい検査ができない場合は、次の方法により検査を行うこともできる。
【露出部分の漏えい検査】
有効な漏洩検知装置が設置されており、メーターガス栓から漏洩検知装置までが露出している場合は以下のとおり。
a.　ガス検知器を使用して検査し、かつ臭気によりガス漏えいの有無を確認する。
b. （　　　）を使用して検査し、かつ臭気によりガス漏えいの有無を確認する。""",供給を停止,露出部分,排気ガス,臭気,埋設部分,業務用途,漏えい検知,特定大規模,発泡液,発泡液,テスト
